# The following table is formatted as tab separated values. 
#GeneName	GeneId	TranscriptId	BioType	variants_impact_HIGH	variants_impact_LOW	variants_impact_MODERATE	variants_impact_MODIFIER	variants_effect_conservative_inframe_deletion	variants_effect_conservative_inframe_insertion	variants_effect_disruptive_inframe_deletion	variants_effect_disruptive_inframe_insertion	variants_effect_downstream_gene_variant	variants_effect_frameshift_variant	variants_effect_missense_variant	variants_effect_non_coding_transcript_exon_variant	variants_effect_splice_region_variant	variants_effect_start_lost	variants_effect_stop_gained	variants_effect_stop_lost	variants_effect_stop_retained_variant	variants_effect_synonymous_variant	variants_effect_upstream_gene_variant
PE2	Rv0152c	CCP42877	protein_coding	0	0	0	5	0	0	0	0	4	0	0	0	0	0	0	0	0	0	1
PE20	Rv1806	CCP44572	protein_coding	0	0	0	7	0	0	0	0	6	0	0	0	0	0	0	0	0	0	1
PE21	Rv2099c	Rv2099c	pseudogene	0	0	0	5	0	0	0	0	3	0	0	0	0	0	0	0	0	0	2
PE22	Rv2107	CCP44882	protein_coding	0	0	0	5	0	0	0	0	4	0	0	0	0	0	0	0	0	0	1
PE23	Rv2328	CCP45115	protein_coding	0	0	1	3	0	0	0	0	1	0	1	0	0	0	0	0	0	0	2
PE24	Rv2408	CCP45199	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
PE25	Rv2431c	CCP45223	protein_coding	0	0	0	4	0	0	0	0	3	0	0	0	0	0	0	0	0	0	1
PE26	Rv2519	CCP45313	protein_coding	0	0	1	3	0	0	0	0	3	0	1	0	0	0	0	0	0	0	0
PE27	Rv2769c	CCP45568	protein_coding	0	0	1	3	0	0	0	0	1	0	1	0	0	0	0	0	0	0	2
PE27A	Rv3018A	CCP45825	protein_coding	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2
PE29	Rv3022A	CCP45830	protein_coding	0	0	1	2	0	0	0	0	1	0	1	0	0	0	0	0	0	0	1
PE3	Rv0159c	CCP42885	protein_coding	0	0	2	1	0	0	0	0	0	0	2	0	0	0	0	0	0	0	1
PE31	Rv3477	CCP46299	protein_coding	0	0	0	7	0	0	0	0	4	0	0	0	0	0	0	0	0	0	3
PE32	Rv3622c	CCP46445	protein_coding	0	0	0	11	0	0	0	0	9	0	0	0	0	0	0	0	0	0	2
PE33	Rv3650	CCP46473	protein_coding	0	0	0	10	0	0	0	0	5	0	0	0	0	0	0	0	0	0	5
PE34	Rv3746c	CCP46573	protein_coding	0	0	0	5	0	0	0	0	2	0	0	0	0	0	0	0	0	0	3
PE35	Rv3872	CCP46701	protein_coding	1	0	0	3	0	0	0	0	2	0	0	0	0	0	1	0	0	0	1
PE36	Rv3893c	CCP46722	protein_coding	0	0	0	8	0	0	0	0	5	0	0	0	0	0	0	0	0	0	3
PE4	Rv0160c	CCP42886	protein_coding	0	0	1	4	0	0	0	0	2	0	1	0	0	0	0	0	0	0	2
PE5	Rv0285	CCP43015	protein_coding	0	0	0	3	0	0	0	0	2	0	0	0	0	0	0	0	0	0	1
PE6	Rv0335c	CCP43065	protein_coding	0	0	0	4	0	0	0	0	1	0	0	0	0	0	0	0	0	0	3
PE7	Rv0916c	CCP43664	protein_coding	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4
PE8	Rv1040c	CCP43791	protein_coding	0	1	0	8	0	0	0	0	5	0	0	0	0	0	0	0	0	1	3
PE9	Rv1088	CCP43840	protein_coding	0	0	0	14	0	0	0	0	1	0	0	0	0	0	0	0	0	0	13
PE_PGRS1	Rv0109	CCP42834	protein_coding	0	0	3	4	0	0	0	0	1	0	3	0	0	0	0	0	0	0	3
PE_PGRS10	Rv0747	CCP43492	protein_coding	0	4	5	16	1	0	0	0	8	0	4	0	0	0	0	0	0	4	8
PE_PGRS11	Rv0754	CCP43500	protein_coding	0	0	1	10	0	0	0	0	2	0	1	0	0	0	0	0	0	0	8
PE_PGRS12	Rv0832	CCP43580	protein_coding	0	0	0	7	0	0	0	0	4	0	0	0	0	0	0	0	0	0	3
PE_PGRS13	Rv0833	CCP43581	protein_coding	0	2	2	6	0	0	1	0	3	0	1	0	0	0	0	0	0	2	3
PE_PGRS14	Rv0834c	CCP43582	protein_coding	0	0	0	10	0	0	0	0	5	0	0	0	0	0	0	0	0	0	5
PE_PGRS15	Rv0872c	CCP43620	protein_coding	0	1	1	2	0	1	0	0	2	0	0	0	0	0	0	0	0	1	0
PE_PGRS16	Rv0977	CCP43726	protein_coding	0	0	0	23	0	0	0	0	21	0	0	0	0	0	0	0	0	0	2
PE_PGRS17	Rv0978c	CCP43727	protein_coding	4	4	6	10	0	0	0	0	1	4	6	0	0	0	0	0	0	4	9
PE_PGRS18	Rv0980c	CCP43730	protein_coding	0	2	2	21	0	0	0	0	15	0	2	0	0	0	0	0	0	2	6
PE_PGRS19	Rv1067c	CCP43818	protein_coding	0	1	3	5	0	1	1	0	0	0	1	0	0	0	0	0	0	1	5
PE_PGRS2	Rv0124	CCP42849	protein_coding	0	0	1	5	0	0	0	1	3	0	0	0	0	0	0	0	0	0	2
PE_PGRS20	Rv1068c	CCP43819	protein_coding	0	2	2	5	0	1	0	0	4	0	1	0	0	0	0	0	0	2	1
PE_PGRS21	Rv1087	CCP43838	protein_coding	0	5	7	2	0	2	1	1	1	0	3	0	0	0	0	0	0	5	1
PE_PGRS22	Rv1091	CCP43844	protein_coding	0	0	0	14	0	0	0	0	1	0	0	0	0	0	0	0	0	0	13
PE_PGRS23	Rv1243c	CCP43999	protein_coding	1	0	0	3	0	0	0	0	2	1	0	0	0	0	0	0	0	0	1
PE_PGRS24	Rv1325c	CCP44083	protein_coding	0	0	2	3	0	0	0	0	2	0	2	0	0	0	0	0	0	0	1
PE_PGRS25	Rv1396c	CCP44155	protein_coding	0	3	6	1	0	0	0	0	1	0	6	0	0	0	0	0	0	3	0
PE_PGRS26	Rv1441c	CCP44200	protein_coding	0	0	1	1	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0
PE_PGRS27	Rv1450c	CCP44209	protein_coding	0	0	2	30	0	1	1	0	2	0	0	0	0	0	0	0	0	0	28
PE_PGRS28	Rv1452c	CCP44211	protein_coding	2	14	10	4	0	1	1	1	2	2	7	0	0	0	0	0	0	14	2
PE_PGRS29	Rv1468c	CCP44227	protein_coding	0	2	0	3	0	0	0	0	2	0	0	0	0	0	0	0	0	2	1
PE_PGRS3	Rv0278c	CCP43008	protein_coding	1	11	8	76	0	0	2	0	2	1	6	0	0	0	0	0	0	11	74
PE_PGRS30	Rv1651c	CCP44416	protein_coding	0	0	2	2	0	0	0	0	2	0	2	0	0	0	0	0	0	0	0
PE_PGRS31	Rv1768	CCP44535	protein_coding	0	0	1	2	0	0	0	0	2	0	1	0	0	0	0	0	0	0	0
PE_PGRS32	Rv1803c	CCP44569	protein_coding	0	1	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	1	5
PE_PGRS33	Rv1818c	CCP44584	protein_coding	0	1	3	4	0	0	1	1	4	0	1	0	0	0	0	0	0	1	0
PE_PGRS34	Rv1840c	CCP44606	protein_coding	0	0	0	2	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0
PE_PGRS35	Rv1983	CCP44753	protein_coding	0	0	0	4	0	0	0	0	2	0	0	0	0	0	0	0	0	0	2
PE_PGRS36	Rv2098c	Rv2098c	pseudogene	0	0	0	5	0	0	0	0	1	0	0	2	0	0	0	0	0	0	2
PE_PGRS37	Rv2126c	CCP44901	protein_coding	0	1	0	5	0	0	0	0	4	0	0	0	0	0	0	0	0	1	1
PE_PGRS38	Rv2162c	CCP44939	protein_coding	0	2	2	5	0	0	0	0	3	0	2	0	0	0	0	0	0	2	2
PE_PGRS39	Rv2340c	CCP45128	protein_coding	0	0	0	2	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1
PE_PGRS4	Rv0279c	CCP43009	protein_coding	10	14	16	57	1	1	0	0	50	10	14	0	1	0	0	0	1	13	7
PE_PGRS40	Rv2371	CCP45159	protein_coding	0	0	0	3	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0
PE_PGRS41	Rv2396	CCP45186	protein_coding	1	0	0	4	0	0	0	0	2	1	0	0	0	0	0	0	0	0	2
PE_PGRS42	Rv2487c	CCP45281	protein_coding	0	0	1	4	1	0	0	0	1	0	0	0	0	0	0	0	0	0	3
PE_PGRS43	Rv2490c	CCP45284	protein_coding	0	0	1	5	0	0	1	0	3	0	0	0	0	0	0	0	0	0	2
PE_PGRS44	Rv2591	CCP45387	protein_coding	0	0	0	5	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0
PE_PGRS45	Rv2615c	CCP45413	protein_coding	0	3	2	5	0	0	0	1	3	0	1	0	0	0	0	0	0	3	2
PE_PGRS46	Rv2634c	CCP45432	protein_coding	0	0	1	5	0	0	0	0	3	0	1	0	0	0	0	0	0	0	2
PE_PGRS47	Rv2741	CCP45540	protein_coding	0	2	1	5	0	0	0	0	5	0	1	0	0	0	0	0	0	2	0
PE_PGRS48	Rv2853	CCP45654	protein_coding	0	0	1	3	0	0	0	0	2	0	1	0	0	0	0	0	0	0	1
PE_PGRS49	Rv3344c	CCP46165	protein_coding	1	1	1	19	1	0	0	0	9	1	0	0	0	0	0	0	0	1	10
PE_PGRS5	Rv0297	CCP43027	protein_coding	0	0	0	7	0	0	0	0	5	0	0	0	0	0	0	0	0	0	2
PE_PGRS50	Rv3345c	CCP46166	protein_coding	1	0	11	4	1	2	1	1	3	1	6	0	0	0	0	0	0	0	1
PE_PGRS51	Rv3367	CCP46188	protein_coding	0	0	2	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0
PE_PGRS52	Rv3388	CCP46209	protein_coding	1	0	0	6	0	0	0	0	2	1	0	0	0	0	0	0	0	0	4
PE_PGRS53	Rv3507	CCP46329	protein_coding	0	0	3	13	0	0	0	3	12	0	0	0	0	0	0	0	0	0	1
PE_PGRS54	Rv3508	CCP46330	protein_coding	2	3	7	5	0	0	0	1	2	2	6	0	0	0	0	0	0	3	3
PE_PGRS55	Rv3511	CCP46333	protein_coding	1	0	2	33	0	0	1	0	28	1	1	0	0	0	0	0	0	0	5
PE_PGRS56	Rv3512	CCP46334	protein_coding	9	4	15	16	1	1	0	5	14	9	8	0	0	0	0	0	0	4	2
PE_PGRS57	Rv3514	CCP46336	protein_coding	0	4	9	35	0	1	2	1	4	0	5	0	0	0	0	0	0	4	31
PE_PGRS58	Rv3590c	CCP46413	protein_coding	0	0	0	6	0	0	0	0	2	0	0	0	0	0	0	0	0	0	4
PE_PGRS59	Rv3595c	CCP46418	protein_coding	0	1	0	3	0	0	0	0	3	0	0	0	0	0	0	0	0	1	0
PE_PGRS6	Rv0532	CCP43270	protein_coding	0	0	4	1	0	0	0	1	1	0	3	0	0	0	0	0	0	0	0
PE_PGRS60	Rv3652	CCP46475	protein_coding	0	0	0	11	0	0	0	0	8	0	0	0	0	0	0	0	0	0	3
PE_PGRS61	Rv3653	CCP46476	protein_coding	1	0	1	9	0	0	0	1	6	1	0	0	0	0	0	0	0	0	3
PE_PGRS62	Rv3812	CCP46641	protein_coding	0	0	0	2	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1
PE_PGRS7	Rv0578c	CCP43316	protein_coding	0	3	0	2	0	0	0	0	2	0	0	0	0	0	0	0	0	3	0
PE_PGRS8	Rv0742	CCP43487	protein_coding	0	0	0	9	0	0	0	0	8	0	0	0	0	0	0	0	0	0	1
PE_PGRS9	Rv0746	CCP43491	protein_coding	0	1	6	19	0	1	0	1	17	0	4	0	0	0	0	0	0	1	2
PPE1	Rv0096	CCP42821	protein_coding	0	0	1	4	0	0	0	0	0	0	1	0	0	0	0	0	0	0	4
PPE10	Rv0442c	CCP43173	protein_coding	0	0	1	2	0	0	0	0	1	0	1	0	0	0	0	0	0	0	1
PPE11	Rv0453	CCP43184	protein_coding	0	1	0	4	0	0	0	0	2	0	0	0	0	0	0	0	0	1	2
PPE12	Rv0755c	CCP43501	protein_coding	0	0	0	4	0	0	0	0	2	0	0	0	0	0	0	0	0	0	2
PPE13	Rv0878c	CCP43626	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
PPE14	Rv0915c	CCP43663	protein_coding	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3
PPE15	Rv1039c	CCP43790	protein_coding	0	0	0	10	0	0	0	0	6	0	0	0	0	0	0	0	0	0	4
PPE16	Rv1135c	CCP43889	protein_coding	0	0	1	2	0	0	0	0	0	0	1	0	0	0	0	0	0	0	2
PPE17	Rv1168c	CCP43924	protein_coding	0	0	0	4	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0
PPE18	Rv1196	CCP43952	protein_coding	0	2	3	7	0	0	0	0	6	0	3	0	0	0	0	0	0	2	1
PPE19	Rv1361c	CCP44119	protein_coding	0	2	1	2	0	0	0	0	0	0	1	0	0	0	0	0	0	2	2
PPE2	Rv0256c	CCP42985	protein_coding	0	0	1	3	0	0	0	0	1	0	1	0	0	0	0	0	0	0	2
PPE20	Rv1387	CCP44146	protein_coding	0	0	0	2	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1
PPE21	Rv1548c	CCP44312	protein_coding	0	0	1	3	0	0	0	0	1	0	1	0	0	0	0	0	0	0	2
PPE22	Rv1705c	CCP44470	protein_coding	0	0	1	4	0	0	0	0	3	0	1	0	0	0	0	0	0	0	1
PPE23	Rv1706c	CCP44471	protein_coding	0	0	0	4	0	0	0	0	3	0	0	0	0	0	0	0	0	0	1
PPE24	Rv1753c	CCP44519	protein_coding	0	0	1	4	0	0	0	0	1	0	1	0	0	0	0	0	0	0	3
PPE25	Rv1787	CCP44553	protein_coding	0	0	1	4	0	0	0	0	1	0	1	0	0	0	0	0	0	0	3
PPE26	Rv1789	CCP44555	protein_coding	0	0	1	3	0	0	1	0	0	0	0	0	0	0	0	0	0	0	3
PPE27	Rv1790	CCP44556	protein_coding	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3
PPE28	Rv1800	CCP44566	protein_coding	0	0	0	3	0	0	0	0	1	0	0	0	0	0	0	0	0	0	2
PPE29	Rv1801	CCP44567	protein_coding	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
PPE3	Rv0280	CCP43010	protein_coding	0	0	1	88	0	0	0	0	2	0	1	0	0	0	0	0	0	0	86
PPE30	Rv1802	CCP44568	protein_coding	0	0	0	3	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0
PPE31	Rv1807	CCP44573	protein_coding	0	0	2	5	0	0	0	0	4	0	2	0	0	0	0	0	0	0	1
PPE32	Rv1808	CCP44574	protein_coding	0	0	1	9	0	0	0	0	6	0	1	0	0	0	0	0	0	0	3
PPE33	Rv1809	CCP44575	protein_coding	0	1	2	7	0	0	0	0	4	0	2	0	0	0	0	0	0	1	3
PPE34	Rv1917c	CCP44684	protein_coding	1	2	2	6	0	0	0	0	4	0	2	0	0	1	0	0	0	2	2
PPE35	Rv1918c	CCP44685	protein_coding	0	0	2	7	0	0	0	0	5	0	2	0	0	0	0	0	0	0	2
PPE36	Rv2108	CCP44883	protein_coding	0	0	0	5	0	0	0	0	4	0	0	0	0	0	0	0	0	0	1
PPE37	Rv2123	CCP44898	protein_coding	1	1	2	2	0	0	0	0	2	1	2	0	0	0	0	0	0	1	0
PPE38	Rv2352c	CCP45140	protein_coding	1	0	0	7	0	0	0	0	5	1	0	0	0	0	0	0	0	0	2
PPE39	Rv2353c	CCP45141	protein_coding	0	0	0	7	0	0	0	0	5	0	0	0	0	0	0	0	0	0	2
PPE4	Rv0286	CCP43016	protein_coding	0	0	1	2	0	0	0	0	1	0	1	0	0	0	0	0	0	0	1
PPE40	Rv2356c	CCP45144	protein_coding	0	0	0	4	0	0	0	0	3	0	0	0	0	0	0	0	0	0	1
PPE41	Rv2430c	CCP45222	protein_coding	0	0	0	4	0	0	0	0	3	0	0	0	0	0	0	0	0	0	1
PPE42	Rv2608	CCP45405	protein_coding	0	0	0	3	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0
PPE43	Rv2768c	CCP45567	protein_coding	0	0	0	5	0	0	0	0	2	0	0	0	0	0	0	0	0	0	3
PPE44	Rv2770c	CCP45569	protein_coding	0	0	1	3	0	0	0	0	2	0	1	0	0	0	0	0	0	0	1
PPE45	Rv2892c	CCP45694	protein_coding	0	0	0	2	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1
PPE46	Rv3018c	CCP45824	protein_coding	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2
PPE47	Rv3021c	Rv3021c	pseudogene	0	0	0	3	0	0	0	0	0	0	0	1	0	0	0	0	0	0	2
PPE48	Rv3022c	Rv3022c	pseudogene	0	1	0	2	0	0	0	0	0	0	0	1	1	0	0	0	0	0	2
PPE49	Rv3125c	CCP45935	protein_coding	0	0	0	4	0	0	0	0	3	0	0	0	0	0	0	0	0	0	1
PPE5	Rv0304c	CCP43034	protein_coding	0	0	4	5	1	0	1	0	2	0	2	0	0	0	0	0	0	0	3
PPE50	Rv3135	CCP45945	protein_coding	0	0	0	5	0	0	0	0	2	0	0	0	0	0	0	0	0	0	3
PPE51	Rv3136	CCP45946	protein_coding	0	0	0	5	0	0	0	0	2	0	0	0	0	0	0	0	0	0	3
PPE52	Rv3144c	CCP45955	protein_coding	0	0	1	2	0	0	0	0	1	0	1	0	0	0	0	0	0	0	1
PPE53	Rv3159c	CCP45970	protein_coding	0	0	3	8	2	0	0	0	0	0	1	0	0	0	0	0	0	0	8
PPE54	Rv3343c	CCP46164	protein_coding	0	6	7	12	0	0	1	0	1	0	6	0	0	0	0	0	0	6	11
PPE55	Rv3347c	CCP46168	protein_coding	2	10	12	12	0	0	0	0	9	0	12	0	0	0	2	0	0	10	3
PPE56	Rv3350c	CCP46171	protein_coding	0	1	3	12	0	0	0	0	10	0	3	0	0	0	0	0	0	1	2
PPE57	Rv3425	CCP46247	protein_coding	0	1	2	61	0	0	0	0	59	0	2	0	0	0	0	0	0	1	2
PPE58	Rv3426	CCP46248	protein_coding	9	3	17	34	1	0	4	2	30	8	11	0	0	0	1	0	0	3	4
PPE59	Rv3429	CCP46251	protein_coding	0	0	0	64	0	0	0	0	2	0	0	0	0	0	0	0	0	0	62
PPE6	Rv0305c	CCP43035	protein_coding	1	1	0	3	0	0	0	0	2	1	0	0	0	0	0	0	0	1	1
PPE60	Rv3478	CCP46300	protein_coding	0	0	0	7	0	0	0	0	4	0	0	0	0	0	0	0	0	0	3
PPE61	Rv3532	CCP46354	protein_coding	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2
PPE63	Rv3539	CCP46361	protein_coding	0	1	0	2	0	0	0	0	2	0	0	0	0	0	0	0	0	1	0
PPE64	Rv3558	CCP46380	protein_coding	1	0	0	3	0	0	0	0	0	1	0	0	0	0	0	0	0	0	3
PPE65	Rv3621c	CCP46444	protein_coding	0	0	0	13	0	0	0	0	10	0	0	0	0	0	0	0	0	0	3
PPE66	Rv3738c	CCP46565	protein_coding	0	0	0	2	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0
PPE67	Rv3739c	CCP46566	protein_coding	0	0	0	3	0	0	0	0	2	0	0	0	0	0	0	0	0	0	1
PPE68	Rv3873	CCP46702	protein_coding	0	0	1	4	0	0	0	0	2	0	1	0	0	0	0	0	0	0	2
PPE69	Rv3892c	CCP46721	protein_coding	0	1	1	6	0	0	0	0	3	0	1	0	0	0	0	0	0	1	3
PPE7	Rv0354c	CCP43084	protein_coding	1	0	0	5	0	0	0	0	2	1	0	0	0	0	0	0	0	0	3
PPE8	Rv0355c	CCP43085	protein_coding	0	1	3	4	0	0	1	0	3	0	2	0	0	0	0	0	0	1	1
PPE9	Rv0388c	CCP43118	protein_coding	2	2	7	1	0	0	0	0	1	2	7	0	0	0	0	0	0	2	0
Rv0004	Rv0004	CCP42726	protein_coding	0	0	0	7	0	0	0	0	3	0	0	0	0	0	0	0	0	0	4
Rv0007	Rv0007	CCP42729	protein_coding	0	0	0	7	0	0	0	0	4	0	0	0	0	0	0	0	0	0	3
Rv0008c	Rv0008c	CCP42730	protein_coding	0	1	1	5	0	0	0	0	3	0	1	0	0	0	0	0	0	1	2
Rv0010c	Rv0010c	CCP42732	protein_coding	0	0	0	5	0	0	0	0	3	0	0	0	0	0	0	0	0	0	2
Rv0011c	Rv0011c	CCP42733	protein_coding	0	0	0	5	0	0	0	0	3	0	0	0	0	0	0	0	0	0	2
Rv0012	Rv0012	CCP42734	protein_coding	0	0	1	4	0	0	0	0	1	0	1	0	0	0	0	0	0	0	3
Rv0021c	Rv0021c	CCP42743	protein_coding	1	0	0	7	0	0	0	0	4	1	0	0	0	0	0	0	0	0	3
Rv0023	Rv0023	CCP42745	protein_coding	0	0	0	8	0	0	0	0	1	0	0	0	0	0	0	0	0	0	7
Rv0024	Rv0024	CCP42746	protein_coding	0	0	0	9	0	0	0	0	2	0	0	0	0	0	0	0	0	0	7
Rv0025	Rv0025	CCP42747	protein_coding	0	0	0	9	0	0	0	0	3	0	0	0	0	0	0	0	0	0	6
Rv0026	Rv0026	CCP42748	protein_coding	0	0	0	7	0	0	0	0	3	0	0	0	0	0	0	0	0	0	4
Rv0027	Rv0027	CCP42749	protein_coding	0	0	0	7	0	0	0	0	3	0	0	0	0	0	0	0	0	0	4
Rv0028	Rv0028	CCP42750	protein_coding	0	0	0	7	0	0	0	0	3	0	0	0	0	0	0	0	0	0	4
Rv0029	Rv0029	CCP42751	protein_coding	0	0	1	4	0	0	0	0	3	0	1	0	0	0	0	0	0	0	1
Rv0030	Rv0030	CCP42752	protein_coding	0	0	0	4	0	0	0	0	3	0	0	0	0	0	0	0	0	0	1
Rv0031	Rv0031	CCP42753	protein_coding	0	0	0	4	0	0	0	0	3	0	0	0	0	0	0	0	0	0	1
Rv0034	Rv0034	CCP42756	protein_coding	0	1	0	4	0	0	0	0	1	0	0	0	0	0	0	0	0	1	3
Rv0036c	Rv0036c	CCP42758	protein_coding	0	0	0	5	0	0	0	0	3	0	0	0	0	0	0	0	0	0	2
Rv0037c	Rv0037c	CCP42759	protein_coding	0	0	0	4	0	0	0	0	2	0	0	0	0	0	0	0	0	0	2
Rv0038	Rv0038	CCP42760	protein_coding	0	0	0	4	0	0	0	0	2	0	0	0	0	0	0	0	0	0	2
Rv0039c	Rv0039c	CCP42761	protein_coding	0	0	1	3	0	0	0	0	2	0	1	0	0	0	0	0	0	0	1
Rv0042c	Rv0042c	CCP42764	protein_coding	0	0	0	7	0	0	0	0	2	0	0	0	0	0	0	0	0	0	5
Rv0043c	Rv0043c	CCP42765	protein_coding	0	0	0	6	0	0	0	0	1	0	0	0	0	0	0	0	0	0	5
Rv0044c	Rv0044c	CCP42766	protein_coding	0	0	0	6	0	0	0	0	1	0	0	0	0	0	0	0	0	0	5
Rv0045c	Rv0045c	CCP42767	protein_coding	1	0	1	6	0	0	0	0	1	1	1	0	0	0	0	0	0	0	5
Rv0047c	Rv0047c	CCP42769	protein_coding	0	0	0	11	0	0	0	0	4	0	0	0	0	0	0	0	0	0	7
Rv0048c	Rv0048c	CCP42770	protein_coding	0	0	1	10	0	0	0	0	4	0	1	0	0	0	0	0	0	0	6
Rv0049	Rv0049	CCP42771	protein_coding	0	0	0	12	0	0	0	0	7	0	0	0	0	0	0	0	0	0	5
Rv0051	Rv0051	CCP42773	protein_coding	0	1	0	8	0	0	0	0	2	0	0	0	0	0	0	0	0	1	6
Rv0052	Rv0052	CCP42774	protein_coding	0	0	1	7	0	0	0	0	1	0	1	0	0	0	0	0	0	0	6
Rv0057	Rv0057	CCP42779	protein_coding	0	0	0	6	0	0	0	0	2	0	0	0	0	0	0	0	0	0	4
Rv0059	Rv0059	CCP42781	protein_coding	0	0	0	5	0	0	0	0	4	0	0	0	0	0	0	0	0	0	1
